30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450
-3991.028,-3573.244,-3418.867,-3186.341,-3009.214,-2818.345,-2666.134,-2519.96,-2378.43,-2253.716,-2136.232,-2036.051,-1939.524,-1842.98,-1764.908,-1684.45,-1611.44,-1539.45,-1468.797,-1384.302,-1297.528,-1193.713,-1089.578,-986.2228,-887.0018,-781.8945,-678.2679,-584.0096,-495.6505,-416.7294,-346.5293,-290.955,-242.7184,-202.7152,-170.8826,-143.2595,-124.1011,-108.1025,-92.73783,-81.16354,-70.68811,-58.42315,-50.99653
-4315.723,-3875.448,-3715.663,-3468.285,-3275.932,-3073.108,-2907.726,-2747.688,-2592.104,-2453.216,-2321.565,-2211.43,-2102.391,-1994.083,-1903.804,-1816.502,-1733.364,-1654.225,-1574.089,-1485.131,-1385.616,-1274.15,-1154.796,-1041.048,-932.4628,-812.5587,-704.5217,-598.7932,-504.759,-420.6631,-349.8055,-289.9066,-239.1914,-200.1329,-167.0372,-139.9674,-121.9845,-105.1488,-90.12923,-78.30846,-68.12814,-57.00351,-49.64405
-4666.455,-4203.37,-4038.092,-3774.681,-3568.071,-3348.105,-3169.346,-2993.912,-2822.049,-2667.735,-2524.045,-2397.528,-2274.911,-2154.586,-2049.784,-1953.885,-1862.663,-1770.728,-1681.176,-1587.191,-1475.658,-1351.982,-1218.427,-1094.931,-973.4633,-842.2701,-726.0107,-611.1924,-511.0804,-422.9253,-349.7174,-287.0609,-235.4288,-196.0426,-162.5496,-135.7661,-118.1696,-101.694,-87.13306,-76.77227,-65.94123,-55.40894,-48.18044
-5045.65,-4559.11,-4388.665,-4108.064,-3892.438,-3648.763,-3453.156,-3260.418,-3070.161,-2898.322,-2734.152,-2595.608,-2457.26,-2322.243,-2204.968,-2096.855,-1995.266,-1893.786,-1792.423,-1686.238,-1564.009,-1428.478,-1284.506,-1146.388,-1009.703,-869.7055,-745.5325,-620.6982,-515.0842,-426.0305,-346.6796,-283.1744,-230.6426,-191.1354,-157.3911,-131.4522,-114.1109,-97.99684,-83.89047,-73.25889,-63.53588,-53.75796,-46.71749
-5455.005,-4944.37,-4768.885,-4469.581,-4234.542,-3973.353,-3759.964,-3549.794,-3336.56,-3144.918,-2966.087,-2805.396,-2649.469,-2497.554,-2366.476,-2245.422,-2138.238,-2019.805,-1903.712,-1787.857,-1653.06,-1504.776,-1345.022,-1194.308,-1046.516,-894.9048,-761.8564,-627.8512,-516.8632,-425.2386,-343.3822,-278.1113,-224.8311,-185.5138,-151.763,-126.6341,-110.046,-94.10651,-80.4904,-70.13298,-61.03818,-51.90861,-45.31647
-5896.323,-5361.535,-5180.934,-4861.672,-4605.763,-4324.563,-4091.301,-3859.318,-3621.93,-3408.169,-3200.587,-3026.582,-2851.221,-2679.195,-2533.505,-2398.704,-2275.687,-2147.31,-2018.484,-1888.528,-1741.234,-1579.695,-1404.831,-1238.957,-1080.217,-916.6631,-774.2892,-632.2896,-516.5541,-421.8578,-338.0588,-272.0064,-218.3501,-179.3584,-145.8486,-121.4827,-105.3924,-90.20306,-77.01868,-67.1715,-59.20682,-49.81562,-43.58223
-6372.954,-5813.255,-5627.758,-5286.586,-5009.252,-4703.809,-4448.217,-4191.434,-3927.463,-3689.993,-3466.937,-3259.406,-3062.131,-2870.608,-2706.042,-2556.142,-2418.323,-2275.511,-2134.012,-1989.572,-1829.119,-1652.315,-1463.279,-1283.286,-1109.176,-936.048,-784.2768,-634.7212,-514.162,-416.8921,-332.1421,-264.9572,-211.3284,-172.8505,-139.7564,-116.142,-100.6065,-86.08015,-73.51486,-64.16009,-56.62549,-47.74366,-41.7952
-6886.469,-6302.078,-6111.662,-5746.652,-5446.145,-5112.793,-4832.8,-4548.145,-4253.208,-3987.332,-3736.756,-3503.727,-3279.977,-3067.789,-2883.319,-2716.648,-2566.298,-2404.155,-2250.642,-2092.85,-1916.415,-1721.877,-1519.245,-1323.324,-1136.627,-951.9622,-790.8381,-634.7279,-509.8417,-410.8682,-325.0163,-257.2887,-203.8455,-166.3816,-133.433,-110.7353,-95.77051,-81.95539,-69.99305,-61.60093,-54.03856,-45.69267,-40.01429
-7340.12,-6830.901,-6636.452,-6244.618,-5919.826,-5555.55,-5246.765,-4929.793,-4600.209,-4302.039,-4020.638,-3758.992,-3507.599,-3270.823,-3064.983,-2880.603,-2711.629,-2534.542,-2365.574,-2196.235,-2003.252,-1791.056,-1572.684,-1361.035,-1160.249,-964.8419,-795.6808,-632.6595,-504.1438,-403.5355,-316.877,-249.0852,-196.0795,-159.0235,-127.1039,-105.2287,-90.9367,-77.85191,-66.51625,-58.95201,-51.45652,-43.66245,-38.21592
