Set Point (C),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
130,-2136.232,-2321.565,-2524.045,-2734.152,-2966.087,-3200.587,-3466.937,-3736.756,-4020.638,-4316.985,-4625.722,-4945.753,-5275.285,-5612.859,-5955.787,-6300.497,-6643.836,-6986.592,-7323.817,-7620.148,-7933.233,-8235.234,-8522.321,-8796.196,-9045.104,-9276.168,-9489.225,-9685.027,-9859.842,-10021.42,-10176.14,-10310.6,-10439.79,-10556.79,-10678.74,-10791.67,-10904.67,-11031.61,-11144.22,-11274.83,-11400.86,-11532.78,-11664.13,-11799.02,-11928.09,-12061.48,-12152.92,-12298.3,-12384.51,-12452.7,-12320.24,-12327.29,-12309.62,-12164.65,-11981.94,-11783.82,-11600.06,-11329.59,-10943.87,-10513.43,-10085.59,-9612.596,-9153.226,-8668.67,-8180.418,-7701.097,-7280.982,-6835.527,-6437.282,-6031.858,-5666.696,-5313.03,-4995.731,-4718.29,-4451.155,-4174.134,-3962.261,-3690.418,-3547.991,-3364.552,-3247.624,-3089.449,-2957.322,-2861.174,-2756.105,-2659.905,-2617.64,-2536.408,-2502.481,-2435.478,-2391.184,-2343.086,-2311.376,-2252.94,-2253.889,-2076.148,-2035.046,-2005.727,-2033.788,-2005.215,-1977.059,-1989.421,-1963.31,-1963.947,-1969.898,-1952.973,-1929.472,-1925.738,-1947.332,-1962.885,-2011.981,-2018.156,-1977.417,-1991.069,-1965.449,-1979.198,-2000.688,-1999.281,-2009.862,-2084.426,-2026.018,-2031.186,-2067.999,-2154.33,-2172.116,-2070.147,-2177.203,-2163.663,-2288.358,-2292.888,-2477.098,-2416.629,-2482.724,-2620.664,-2515.062,-2600.542,-2663.654,-2800.143,-2830.06,-2887.055,-2850.73
140,-2036.051,-2211.43,-2397.528,-2595.608,-2805.396,-3026.582,-3259.406,-3503.727,-3758.992,-4023.74,-4296.563,-4576.884,-4863.528,-5148.308,-5437.345,-5730.064,-6019.558,-6300.737,-6571.378,-6834.535,-7054.565,-7290.471,-7513.365,-7727.041,-7922.1,-8100.243,-8261.506,-8416.813,-8557.337,-8687.186,-8820.563,-8933.365,-9045.735,-9151.937,-9264.816,-9377.036,-9487.531,-9603.539,-9710.908,-9824.87,-9945.903,-9992.424,-10149.77,-10232.29,-10320.82,-10452.99,-10507.64,-10561.1,-10603.23,-10649.96,-10573.38,-10512.15,-10478.11,-10209.49,-10013.49,-9803.198,-9550.1,-9205.612,-8823.671,-8440.723,-8037.208,-7628.557,-7232.685,-6838.935,-6436.698,-6065.768,-5689.738,-5333.1,-4987.112,-4688.609,-4402.647,-4126.83,-3880.357,-3647.7,-3447.167,-3231.617,-3083.649,-2891.738,-2800.403,-2629.662,-2519.653,-2406.128,-2305.82,-2247.661,-2141.686,-2097.949,-2023.634,-1988.393,-1926.239,-1879.644,-1806.506,-1789.551,-1616.891,-1618.109,-1599.471,-1598.875,-1574.474,-1587.337,-1605.223,-1581.475,-1565.386,-1551.354,-1559.547,-1608.073,-1640.084,-1673.678,-1672.172,-1702.554,-1708.129,-1720.094,-1797.44,-1815.675,-1797.852,-1775.513,-1831.175,-1833.059,-1804.166,-1869.674,-1825.621,-1871.806,-1871.883,-1944.619,-1982.669,-2003.952,-2019.225,-2084.15,-2098.664,-2101.834,-2185.425,-2167.379,-2323.303,-2352.641,-2350.265,-2494.136,-2472.595,-2602.765,-2589.399,-2738.569,-2763.36,-2865.094,-2882.352
150,-1939.524,-2102.391,-2274.911,-2457.26,-2649.469,-2851.221,-3062.131,-3279.977,-3507.599,-3742.691,-3982.376,-4225.937,-4473.306,-4720.386,-4967.021,-5209.747,-5442.2,-5670.499,-5893.314,-6104.386,-6301.03,-6465.216,-6644.564,-6814.302,-6969.919,-7115.633,-7250.438,-7380.301,-7503.025,-7620.714,-7747.791,-7856.944,-7966.304,-8067.859,-8179.747,-8291.639,-8394.797,-8491.811,-8601.471,-8738.469,-8822.866,-8933.231,-9039.506,-9156.428,-9254.51,-9284.45,-9329.838,-9364.093,-9325.536,-9308.963,-9245.879,-9132.696,-8968.845,-8759.051,-8517.308,-8225.565,-7901.885,-7563.329,-7246.175,-6909.71,-6570.677,-6218.487,-5904.782,-5526.573,-5164.924,-4860.063,-4549.051,-4257.461,-4039.206,-3791.766,-3598.406,-3371.804,-3190.532,-3081.186,-2922.43,-2778.443,-2586.581,-2481.583,-2358.803,-2222.206,-2148.987,-2101.198,-2023.023,-1980.538,-1902.978,-1872.259,-1859.001,-1816.094,-1774.489,-1652.429,-1619.062,-1599.683,-1605.889,-1644.769,-1593.401,-1538.328,-1494.956,-1549.22,-1522.937,-1559.006,-1527.621,-1550.823,-1543.498,-1533.946,-1545.532,-1559.639,-1548.789,-1558.924,-1568.16,-1567.568,-1593.41,-1571.513,-1565.619,-1629.563,-1641.488,-1626.056,-1664.191,-1693.115,-1699.52,-1760.35,-1761.754,-1829.1,-1859.042,-1838.139,-1906.017,-1838.546,-1938.551,-1923.214,-1922.137,-1997.03,-2054.681,-2029.134,-2101.786,-2182.802,-2166.307,-2368.323,-2390.578,-2499.98,-2475.346,-2605.439,-2526.412
160,-1842.98,-1994.083,-2154.586,-2322.243,-2497.554,-2679.195,-2870.608,-3067.789,-3270.823,-3478.471,-3688.728,-3901.017,-4113.277,-4324.089,-4534.143,-4736.651,-4934.619,-5125.497,-5309.517,-5483.185,-5645.453,-5798.772,-5945.487,-6070.479,-6202.51,-6328.78,-6447.271,-6563.898,-6677.087,-6783.13,-6902.057,-7006.105,-7114.164,-7219.336,-7324.385,-7432.711,-7537.968,-7655.72,-7750.62,-7848.012,-7953.493,-8058.023,-8133.785,-8209.952,-8257.818,-8300.741,-8307.636,-8262.322,-8049.342,-8099.015,-7906.223,-7760.427,-7634.192,-7448.628,-7222.608,-6932.543,-6666.229,-6303.75,-5952.803,-5611.089,-5277.591,-5002.019,-4782.632,-4524.83,-4211.982,-3986.473,-3708.866,-3452.933,-3288.363,-3018.499,-2807.274,-2670.09,-2556.428,-2428.421,-2248.714,-2139.633,-2092.087,-1952.411,-1859.993,-1834.803,-1752.014,-1693.793,-1616.41,-1570.782,-1501.764,-1481.07,-1479.931,-1471.84,-1386.465,-1390.312,-1394.616,-1385.42,-1392.544,-1354.867,-1330.609,-1367.558,-1388.751,-1373.075,-1395.454,-1417.545,-1415.542,-1458.454,-1459.208,-1408.596,-1407.03,-1413.912,-1332.989,-1374.243,-1395.915,-1363.362,-1433.09,-1477.275,-1519.762,-1576.475,-1532.372,-1545.693,-1559.098,-1599.907,-1586.912,-1622.861,-1634.23,-1653.89,-1748.028,-1727.844,-1749.422,-1826.945,-1848.086,-1878.045,-1962.566,-2088.645,-2129.47,-2153.699,-2171.083,-2300.587,-2295.146,-2309.935,-2386.998,-2492.928,-2541.636,-2586.621,-2657.458
170,-1764.908,-1903.804,-2049.784,-2204.968,-2366.476,-2533.505,-2706.042,-2883.319,-3064.983,-3248.803,-3434.437,-3620.282,-3805.309,-4011.9,-4192.874,-4367.472,-4539.224,-4700.615,-4859.262,-5007.539,-5146.542,-5280.205,-5414.796,-5541.691,-5665.872,-5767.942,-5880.478,-5993.72,-6109.109,-6218.456,-6341.688,-6440.375,-6542.51,-6655.575,-6773.427,-6885.832,-6997.165,-7112.988,-7198.796,-7303.32,-7398.883,-7491.932,-7566.313,-7624.447,-7659.66,-7678.072,-7676.287,-7636.906,-7560.804,-7468.844,-7256.011,-7087.51,-6883.656,-6661.029,-6419.593,-6140.439,-5909.426,-5626.129,-5364.561,-5048.261,-4796.914,-4572.267,-4301.377,-4031.084,-3774.131,-3573.156,-3341.852,-3115.493,-2867.959,-2718.781,-2634.421,-2472.838,-2326.616,-2235.032,-2090.948,-1959.924,-1881.466,-1779.453,-1739.115,-1671.754,-1602.166,-1510.709,-1482.804,-1476.695,-1467.157,-1423.689,-1362.575,-1282.925,-1223.236,-1218.119,-1206.884,-1233.15,-1264.782,-1239.73,-1240.271,-1218.335,-1247.999,-1244.387,-1223.85,-1265.863,-1219.494,-1252.26,-1242.216,-1251.89,-1279.783,-1269.479,-1279.108,-1281.861,-1325.402,-1322.779,-1368.193,-1370.788,-1433.198,-1438.132,-1427.555,-1421.114,-1458.166,-1442.121,-1510.756,-1503.663,-1590.316,-1594.926,-1672.526,-1762.062,-1749.942,-1846.447,-1904.9,-1975.905,-2009.135,-2070.894,-2069.466,-2148.719,-2161.081,-2312.204,-2320.049,-2476.311,-2526.071,-2508.048,-2538.878,-2656.925,-2684.177
180,-1684.45,-1816.502,-1953.885,-2096.855,-2245.422,-2398.704,-2556.142,-2716.648,-2880.603,-3045.425,-3210.484,-3375.53,-3539.85,-3703.089,-3861.32,-4014.937,-4164.422,-4309.378,-4449.316,-4582.605,-4711.344,-4833.164,-4957.188,-5077.738,-5195.96,-5310.773,-5426.357,-5530.592,-5641.977,-5758.529,-5881.676,-5995.674,-6114.188,-6222.817,-6340.394,-6449.813,-6560.426,-6670.398,-6761.221,-6863.338,-6952.038,-7021.796,-7075.273,-7152.751,-7170.479,-7151.761,-7127.126,-7061.892,-6979.632,-6866.411,-6672.067,-6427.239,-6222.076,-5978.509,-5709.466,-5489.888,-5305.562,-5055.23,-4783.509,-4425.06,-4217.211,-3923.451,-3641.731,-3444.202,-3280.57,-2993.656,-2837.731,-2655.377,-2511.209,-2363.229,-2240.844,-2152.982,-2059.063,-1950.318,-1867.172,-1755.327,-1685.86,-1604.428,-1554.577,-1461.004,-1451.181,-1409.685,-1356.602,-1320.85,-1310.193,-1292.076,-1320.128,-1277.011,-1260.396,-1252.139,-1235.23,-1233.291,-1265.984,-1242.676,-1230.292,-1253.451,-1235.64,-1252.911,-1252.178,-1302.924,-1293.169,-1328.134,-1253.108,-1304.02,-1288.121,-1329.909,-1378.275,-1395.677,-1418.306,-1448.99,-1473.516,-1486.323,-1507.25,-1561.928,-1627.421,-1618.872,-1572.23,-1617.466,-1638.744,-1656.536,-1695.421,-1741.201,-1767.465,-1824.424,-1839.339,-1921.035,-1966.169,-2013.854,-2086.589,-2096.839,-2190.968,-2268.06,-2316.559,-2431.137,-2448.796,-2653.338,-2664.745,-2683.125,-2742.909,-2800.149,-2796.233
190,-1611.44,-1733.364,-1862.663,-1995.266,-2138.238,-2275.687,-2418.323,-2566.298,-2711.629,-2857.426,-3005.358,-3162.9,-3309.301,-3453.751,-3593.052,-3722.732,-3861.986,-3990.823,-4118.418,-4239.835,-4355.115,-4471.581,-4596.311,-4719.192,-4835.786,-4954.104,-5067.471,-5192.983,-5305.844,-5425.018,-5550.692,-5672.232,-5794.359,-5914.344,-6040.803,-6156.291,-6264.262,-6382.59,-6468.279,-6541.478,-6611.549,-6708.845,-6771.024,-6811.337,-6774.374,-6731.507,-6622.283,-6535.929,-6446.567,-6283.667,-6227.329,-5988.715,-5799.459,-5492.73,-5189.487,-4903.515,-4711.753,-4478.101,-4256.325,-4162.152,-3819.382,-3556.044,-3336.569,-3088.481,-2921.877,-2706.149,-2675.465,-2553.682,-2270.619,-2195.142,-2007.333,-1968.022,-1872.272,-1784.195,-1747.727,-1694.471,-1569.924,-1485.895,-1457.188,-1422.83,-1371.327,-1359.385,-1335.228,-1340.111,-1282.338,-1236.419,-1169.386,-1212.426,-1192.974,-1194.559,-1231.036,-1212.347,-1202.059,-1166.818,-1177.872,-1196.231,-1199.566,-1191.904,-1209.359,-1247.684,-1280.893,-1230.991,-1229.878,-1246.358,-1298.831,-1320.749,-1321.233,-1325.865,-1334.922,-1387.457,-1438.057,-1464.756,-1573.638,-1551.959,-1541.786,-1614.513,-1626.728,-1688.992,-1693.488,-1722.065,-1813.689,-1872.698,-1896.051,-1898.949,-1994.234,-2179.35,-2120.347,-2247.379,-2292.557,-2466.36,-2539.351,-2639.368,-2612.853,-2734.3,-2860.706,-2874.048,-2940.87,-2908.315,-3032.015,-3133.395,-3320.776
200,-1539.45,-1654.225,-1770.728,-1893.786,-2019.805,-2147.31,-2275.511,-2404.155,-2534.542,-2665.409,-2794.03,-2922.929,-3042.85,-3171.057,-3299.438,-3419.522,-3538.113,-3646.86,-3758.437,-3874.544,-3981.388,-4086.582,-4195.428,-4305.329,-4415.205,-4524.822,-4632.983,-4737.725,-4851.917,-4936.408,-5073.708,-5169.561,-5293.33,-5392.941,-5483.36,-5574.133,-5651.093,-5748.526,-5849.117,-5913.442,-5968.974,-6013.934,-6032.563,-6034.832,-5975.616,-5934.565,-5881.053,-5793.448,-5690.69,-5547.264,-5427.331,-5277.385,-5025.606,-4773.792,-4520.602,-4366.424,-4111.939,-3922.1,-3721.827,-3526.081,-3414.993,-3256.706,-3062.229,-2892.764,-2736.771,-2596.821,-2404.7,-2269.924,-2154.726,-2006.039,-1900.482,-1780.637,-1702.703,-1625.419,-1568.002,-1459.718,-1459.577,-1406.132,-1354.599,-1305.688,-1269.835,-1235.504,-1238.862,-1215.696,-1160.37,-1154.507,-1201.657,-1208.908,-1178.763,-1165.382,-1151.393,-1185.518,-1209.654,-1186.681,-1195.996,-1203.444,-1209.285,-1219.69,-1224.964,-1237.885,-1252.978,-1232.256,-1310.887,-1319.517,-1322.042,-1335.943,-1370.155,-1384.885,-1436.928,-1441.633,-1529.502,-1544.267,-1596.462,-1602.988,-1592.894,-1619.631,-1688.865,-1815.288,-1776.788,-1856.157,-1862.265,-1923.988,-2061.6,-2130.146,-2307.94,-2178.103,-2364.717,-2478.835,-2317.793,-2560.998,-2618.822,-2726.914,-2777.834,-2892.711,-2817.183,-3079.498,-3057.373,-3156.041,-3127.778,-3246.282,-3388.86
210,-1468.797,-1574.089,-1681.176,-1792.423,-1903.712,-2018.484,-2134.012,-2250.642,-2365.574,-2478.679,-2596.655,-2708.807,-2818.054,-2933.088,-3038.263,-3143.948,-3250.132,-3347.407,-3447.957,-3546.669,-3641.488,-3736.915,-3833.978,-3930.878,-4034.059,-4133.03,-4229.899,-4327.702,-4421.665,-4518.404,-4614.88,-4710.517,-4806.734,-4888.214,-4964.767,-5062.242,-5139.686,-5216.457,-5284.863,-5329.811,-5374.466,-5405.328,-5338.924,-5325.748,-5276.869,-5243.169,-5160.593,-5060.435,-4937.891,-4768.634,-4653.929,-4487.796,-4336.443,-4137.886,-3939.215,-3709.489,-3563.789,-3390.644,-3195.52,-3028.924,-2849.327,-2686.816,-2534.856,-2415.067,-2220.239,-2137.357,-2023.664,-1925.12,-1826.432,-1716.345,-1668.191,-1583.857,-1533.138,-1452.974,-1374.714,-1324.827,-1280.859,-1247.894,-1220.613,-1189.98,-1162.751,-1135.813,-1118.905,-1110.985,-1108.615,-1092.962,-1104.96,-1109.954,-1104.901,-1089.469,-1098.862,-1105.894,-1119.989,-1142.718,-1118.791,-1137.346,-1152.72,-1174.365,-1192.46,-1188.982,-1224.321,-1244.847,-1256.023,-1298.005,-1315.325,-1346.521,-1363.69,-1372.523,-1365.993,-1426.749,-1462.539,-1485.187,-1521.113,-1568.374,-1615.323,-1631.867,-1686.492,-1734.92,-1781.497,-1823.06,-1874.146,-1945.417,-1970.228,-2062.183,-2089.603,-2172.467,-2223.615,-2271.388,-2300.866,-2448.948,-2484.843,-2558.57,-2620.85,-2737.935,-2798.175,-2948.917,-2986.877,-3074.872,-3138.865,-3111.877,-3200.443
220,-1384.302,-1485.131,-1587.191,-1686.238,-1787.857,-1888.528,-1989.572,-2092.85,-2196.235,-2297.095,-2397.537,-2495.96,-2593.029,-2689.358,-2783.123,-2871.147,-2961.666,-3052.971,-3141.633,-3225.401,-3309.596,-3393.222,-3481.325,-3567.354,-3658.394,-3745.557,-3824.444,-3913.686,-3998.412,-4078.263,-4164.757,-4243.064,-4333.838,-4409.096,-4485.231,-4532.212,-4575.209,-4622.274,-4640.804,-4677.722,-4679.736,-4653.127,-4615.35,-4567.074,-4513.095,-4432.193,-4327.448,-4185.42,-4074.342,-3945.389,-3804.968,-3664.01,-3525.313,-3373.226,-3226.978,-3072.625,-2931.542,-2778.559,-2628.61,-2497.68,-2357.032,-2210.486,-2035.289,-1931.114,-1830.686,-1749.805,-1675.077,-1602.274,-1520.739,-1430.571,-1384.014,-1325.644,-1279.272,-1223.531,-1172.626,-1127.421,-1090.613,-1054.103,-1051.01,-993.9241,-1003.256,-990.3222,-966.9169,-972.2725,-947.4843,-949.9944,-944.5179,-942.2367,-928.5219,-950.9872,-931.6304,-927.2062,-914.8563,-921.5454,-927.3074,-948.2644,-962.6509,-986.1201,-981.6297,-1000.665,-1022.81,-1034.401,-1055.547,-1042.635,-1112.884,-1112.05,-1128.678,-1134.82,-1186.21,-1201.115,-1244.885,-1270.891,-1299.615,-1343.352,-1388.233,-1411.672,-1472.388,-1531.161,-1576.274,-1572.173,-1612.115,-1669.317,-1734.1,-1786.068,-1856.341,-1923.423,-1977.408,-2022.266,-2086.783,-2166.795,-2231.984,-2330.106,-2396.868,-2461.7,-2538.355,-2611.131,-2695.368,-2692.111,-2737.974,-2803.2,-2796.283
230,-1297.528,-1385.616,-1475.658,-1564.009,-1653.06,-1741.234,-1829.119,-1916.415,-2003.252,-2088.559,-2169.955,-2258.317,-2344.033,-2422.65,-2499.147,-2581.856,-2653.852,-2726.79,-2797.856,-2858.463,-2925.63,-2990.671,-3062.844,-3129.773,-3203.895,-3268.669,-3337.037,-3402.979,-3470.638,-3530.488,-3593.638,-3645.519,-3699.382,-3743.788,-3781.133,-3809.003,-3820.256,-3834.851,-3827.797,-3815.271,-3779.521,-3753.848,-3695.838,-3613.764,-3471.304,-3387.043,-3372.172,-3265.277,-3137.625,-3010.278,-2896.134,-2776.419,-2643.833,-2542.252,-2399.028,-2280.667,-2160.362,-2044.936,-1943.725,-1855.437,-1771.819,-1667.436,-1573.971,-1462.379,-1399.414,-1343.542,-1239.279,-1172.923,-1122.224,-1081.783,-1041.398,-996.0923,-958.9958,-947.2498,-873.4702,-847.5098,-814.0811,-786.3559,-774.0147,-763.3113,-745.2448,-732.5789,-720.9984,-727.1019,-726.7977,-721.6653,-730.0968,-722.0204,-731.2178,-729.3102,-744.0497,-757.45,-762.2474,-761.9045,-762.1317,-765.4434,-782.1624,-797.6487,-813.3213,-840.0789,-843.4334,-852.8255,-860.027,-879.4374,-893.6163,-919.9899,-941.1965,-949.9688,-976.596,-1004.765,-1028.128,-1052.048,-1056.922,-1097.608,-1122.476,-1138.8,-1179.456,-1196.241,-1236.572,-1298.381,-1303.96,-1348.419,-1395.48,-1430.646,-1503.289,-1555.289,-1572.861,-1606.365,-1669.599,-1728.276,-1755.665,-1809.311,-1888.697,-1929.216,-1948.572,-2007.286,-2002.739,-2004.977,-2062.485,-2109.402,-2089.649
240,-1193.713,-1274.15,-1351.982,-1428.478,-1504.776,-1579.695,-1652.315,-1721.877,-1791.056,-1860.331,-1925.064,-1987.032,-2048.775,-2110.095,-2170.605,-2223.947,-2278.507,-2330.695,-2380.012,-2427.902,-2465.48,-2510.573,-2557.482,-2603.893,-2649.87,-2691.24,-2748.824,-2787.825,-2821.711,-2848.172,-2877.935,-2897.437,-2917.347,-2925.828,-2931.295,-2929.59,-2920.031,-2909.553,-2876.438,-2841.534,-2786.451,-2741.144,-2680.09,-2617.375,-2528.802,-2443.619,-2369.127,-2269.591,-2173.417,-2082.239,-1992.233,-1899.329,-1800.652,-1706.99,-1544.612,-1449.934,-1376.609,-1327.233,-1269.871,-1221.558,-1174.282,-1106.55,-1052.551,-1000.069,-931.2696,-887.2086,-833.7027,-803.9892,-765.8862,-741.2936,-709.4739,-695.2365,-671.6037,-643.2556,-622.7558,-609.7753,-610.9005,-581.4844,-569.0111,-554.5117,-552.496,-551.6738,-540.9357,-539.5461,-539.9653,-537.0657,-552.5848,-547.5132,-553.6844,-550.0367,-558.9669,-568.501,-575.0784,-576.0358,-579.4982,-590.028,-589.2128,-599.306,-617.1045,-616.5251,-630.2352,-650.1337,-661.3631,-676.9979,-689.1706,-694.9674,-703.5098,-719.5016,-745.7689,-762.4384,-776.3945,-799.4537,-811.3896,-824.4077,-849.4204,-860.8197,-890.2776,-905.0728,-928.7264,-946.8732,-977.8442,-1011.655,-1022.306,-1071.584,-1094.553,-1134.166,-1183.867,-1212.322,-1250.381,-1290.193,-1311.235,-1350.806,-1380.979,-1407.951,-1412.118,-1465.737,-1476.284,-1474.073,-1507.649,-1528.302,-1549.591
250,-1089.578,-1154.796,-1218.427,-1284.506,-1345.022,-1404.831,-1463.279,-1519.245,-1572.684,-1623.259,-1670.866,-1716.924,-1758.682,-1799.056,-1835.907,-1870.081,-1908.365,-1940.829,-1968.734,-1995.653,-2018.251,-2043.434,-2066.158,-2083.56,-2107.359,-2121.07,-2134.844,-2148.175,-2155.281,-2161.044,-2167.905,-2161.236,-2146.213,-2126.342,-2106.901,-2090.988,-2064.783,-2019.279,-1975.402,-1916.765,-1871.822,-1816.805,-1767.164,-1682.073,-1633.589,-1569.573,-1473.33,-1405.254,-1349.35,-1299.94,-1228.083,-1163.702,-1101.432,-1036.864,-987.2864,-932.4413,-884.7708,-837.7019,-794.3337,-749.7206,-712.9716,-678.1777,-645.6873,-611.9481,-578.5349,-552.7087,-522.7419,-508.5011,-491.2885,-476.6133,-465.7399,-452.5503,-442.2538,-438.649,-427.9479,-421.2236,-417.7374,-408.4932,-411.6707,-407.0808,-404.1175,-402.7958,-404.5597,-404.4231,-394.273,-397.3661,-399.5042,-397.6714,-400.5479,-403.5199,-403.9187,-408.8345,-415.3925,-416.0128,-423.8245,-434.2424,-432.1546,-440.2413,-446.1268,-460.089,-464.6339,-468.0066,-475.8908,-475.8109,-488.1125,-500.7988,-509.3165,-517.2214,-524.8792,-541.4911,-554.057,-564.5037,-572.3635,-581.0313,-592.136,-605.3519,-620.5942,-628.4435,-647.4714,-660.0965,-678.6129,-702.075,-724.3433,-744.4155,-763.3099,-795.428,-807.4563,-849.0537,-868.5358,-886.1033,-909.8486,-936.3542,-956.8611,-975.3277,-1000.565,-1015.022,-1027.768,-1035.017,-1035.07,-1047.685,-1058.304
260,-986.2228,-1041.048,-1094.931,-1146.388,-1194.308,-1238.957,-1283.286,-1323.324,-1361.035,-1396.034,-1428.237,-1456.74,-1484.336,-1507.631,-1529.761,-1550.071,-1565.365,-1577.989,-1590.316,-1597.073,-1603.59,-1610.018,-1617.011,-1625.516,-1645.126,-1641.154,-1632.96,-1620.819,-1613.498,-1604.97,-1592.844,-1571.493,-1549.755,-1524.005,-1495.779,-1462.975,-1428.452,-1387.794,-1342.622,-1298.841,-1254.215,-1207.214,-1162.666,-1114.948,-1066.154,-1019.738,-971.9989,-923.2836,-876.9975,-833.7441,-771.3387,-730.1473,-691.692,-655.5703,-620.9497,-588.4295,-560.1169,-537.8895,-497.5539,-492.0522,-472.9037,-438.73,-428.329,-400.1767,-385.4384,-374.6218,-365.1266,-354.4376,-345.818,-337.5453,-332.178,-325.9241,-322.9746,-320.0102,-314.8461,-310.2276,-311.1349,-305.4371,-308.6348,-306.3412,-309.0492,-309.9491,-308.9391,-311.7426,-310.164,-314.1615,-318.6522,-320.7624,-319.4979,-319.5378,-326.503,-329.6401,-330.7398,-334.5283,-334.4763,-341.2213,-340.7997,-345.9942,-347.3181,-346.8126,-354.7655,-358.3884,-357.8027,-361.726,-368.1031,-372.1503,-370.8904,-380.3655,-383.0869,-387.4417,-392.7549,-399.2496,-406.8007,-412.9517,-418.534,-423.8193,-431.5236,-441.6562,-448.3104,-455.1151,-475.1606,-479.0584,-490.5313,-506.3964,-510.6726,-530.8597,-540.509,-569.9574,-588.0858,-598.673,-616.5768,-622.4158,-644.0642,-657.0188,-677.1921,-688.6677,-702.9479,-705.3967,-706.39,-709.0588,-724.1979
270,-887.0018,-932.4628,-973.4633,-1009.703,-1046.516,-1080.217,-1109.176,-1136.627,-1160.249,-1182.155,-1199.437,-1215.951,-1225.688,-1236.336,-1243.78,-1247.07,-1263.178,-1264.825,-1263.883,-1259.572,-1255.305,-1249.553,-1242.506,-1229.447,-1213.851,-1203.471,-1188.052,-1171.008,-1152.644,-1137.492,-1115.098,-1087.5,-1062.934,-1033.174,-1004.316,-974.0402,-938.7483,-906.1207,-873.2505,-838.5057,-806.3963,-771.9128,-737.2264,-703.6868,-672.4178,-640.0057,-609.1959,-576.0358,-549.9902,-523.0515,-496.6432,-473.9976,-450.5259,-428.4027,-408.663,-389.754,-372.834,-356.4328,-341.883,-328.0165,-315.8826,-303.5952,-293.7408,-284.6379,-276.5293,-268.8299,-262.5389,-256.0965,-230.879,-225.2846,-223.2237,-219.9273,-218.1098,-223.4841,-222.0308,-218.7748,-219.6443,-219.1993,-222.4507,-221.2327,-223.6613,-225.4515,-225.4952,-231.9061,-229.8602,-230.7277,-234.4803,-234.5108,-236.2954,-237.0818,-240.2827,-240.7518,-244.6459,-246.0599,-247.1501,-248.5649,-250.5435,-253.9254,-254.7955,-257.345,-258.3156,-262.2964,-262.6478,-266.4283,-265.847,-272.0397,-272.9322,-273.8324,-275.9474,-275.0136,-275.435,-276.3257,-278.1637,-284.3709,-285.5571,-286.427,-293.2343,-297.8358,-298.7249,-306.8077,-311.721,-318.4346,-331.6062,-340.7846,-341.8645,-360.8982,-365.1967,-376.8954,-398.6719,-399.783,-408.3309,-414.343,-427.8929,-447.8956,-450.9992,-453.3863,-466.9678,-467.8087,-473.5504,-476.8539,-475.3464
280,-781.8945,-812.5587,-842.2701,-869.7055,-894.9048,-916.6631,-936.048,-951.9622,-964.8419,-975.81,-982.2145,-987.1392,-989.0581,-989.5015,-987.5397,-982.169,-975.371,-967.6683,-958.3364,-946.77,-931.6415,-915.5296,-900.307,-884.8354,-871.3187,-852.0978,-833.4216,-813.2092,-794.0671,-770.8442,-750.9688,-725.5724,-703.41,-677.5668,-652.4893,-627.8264,-602.3019,-579.0485,-552.7902,-528.2267,-505.102,-481.2727,-459.4587,-437.9315,-417.4834,-396.9217,-376.8903,-356.7731,-341.3329,-325.5742,-310.5155,-296.9891,-283.6644,-271.4428,-259.8723,-249.4127,-240.1281,-231.1252,-223.2493,-215.6291,-208.9945,-202.5857,-197.5119,-192.19,-187.8624,-184.0437,-179.5532,-175.7541,-173.83,-171.1476,-169.4574,-168.0037,-167.6161,-166.4687,-165.5706,-163.7252,-164.8249,-163.0495,-164.8079,-164.6684,-165.8929,-165.2239,-163.8939,-166.5288,-166.391,-165.3983,-165.8202,-167.4314,-170.4729,-170.1835,-172.4177,-173.2943,-174.5374,-176.3368,-178.4039,-178.1552,-179.1719,-182.3702,-182.079,-183.7459,-183.1872,-182.5358,-182.3426,-181.9381,-183.1555,-181.2838,-182.458,-182.6402,-181.3226,-184.1031,-184.7002,-185.0307,-188.4569,-189.3787,-193.0552,-194.1356,-194.8384,-198.5118,-199.1914,-202.6861,-209.5324,-214.4827,-214.3069,-224.6166,-228.4521,-230.5883,-237.3521,-246.3565,-256.8472,-259.3626,-261.9431,-269.3711,-279.4454,-287.1411,-288.7833,-298.4456,-300.1619,-310.2612,-307.2411,-308.62,-313.6131
